commit_time,gpt_mean,gpt_std,lstm_mean,lstm_std,md_counts
1,13.666666666666666,4.4969125210773475,28.0,7.0,0.0
51,19.666666666666668,2.3570226039551585,31.5,0.5,0.0
101,27.666666666666668,6.944222218666553,29.0,3.0,4.0
151,24.666666666666668,7.363574011458174,27.0,2.0,7.0
201,28.333333333333332,4.496912521077347,26.0,4.0,6.0
251,23.0,7.3484692283495345,29.5,2.5,5.0
301,20.0,3.7416573867739413,20.0,5.0,10.0
351,20.666666666666668,5.792715732327588,23.5,5.5,6.0
401,22.333333333333332,3.299831645537222,19.0,6.0,8.0
451,21.666666666666668,6.018490028422596,27.0,3.0,8.0
501,23.0,6.164414002968976,24.5,1.5,10.0
551,21.333333333333332,1.699673171197595,21.0,10.0,4.0
601,19.0,2.160246899469287,18.5,2.5,12.0
651,18.0,2.943920288775949,19.0,5.0,6.0
701,13.333333333333334,3.0912061651652345,20.5,0.5,8.0
751,22.333333333333332,3.39934634239519,16.5,0.5,4.0
801,16.666666666666668,2.3570226039551585,13.0,2.0,7.0
851,21.0,2.943920288775949,15.5,6.5,3.0
901,12.333333333333334,4.027681991198191,15.0,1.0,2.0
951,12.0,2.8284271247461903,15.5,0.5,1.0
1001,14.333333333333334,4.189935029992179,14.5,3.5,4.0
1051,14.666666666666666,0.9428090415820634,13.5,2.5,3.0
1101,11.666666666666666,3.681787005729087,14.0,1.0,4.0
1151,13.0,3.559026084010437,13.5,3.5,1.0
1201,12.333333333333334,2.494438257849294,14.5,0.5,4.0
1251,10.333333333333334,1.247219128924647,10.0,2.0,5.0
1301,10.333333333333334,1.247219128924647,13.5,4.5,2.0
1351,12.666666666666666,3.0912061651652345,10.5,1.5,1.0
1401,9.333333333333334,1.699673171197595,9.5,1.5,5.0
1451,11.666666666666666,3.0912061651652345,16.0,1.0,1.0
