Transition,MD_MFPT,Pred_MFPT
macro1_to_macro0,367716.19061115064,1229446.4797410078
macro0_to_macro1,783434.7832705994,203608.88554604587
macro2_to_macro0,397407.4764975926,1223437.6109134546
macro0_to_macro2,35877.53094370662,29226.399465248058
macro2_to_macro1,816721.9281503615,209909.26937322825
macro1_to_macro2,39473.38993703054,41535.65211998345
macro3_to_macro0,363908.20310178585,1230746.1352311429
macro0_to_macro3,212.1285160416889,9494.637065505343
macro3_to_macro1,783222.6547545576,196601.7788417692
macro1_to_macro3,3807.987509365709,1187.8748710938303
macro3_to_macro2,35665.40242766492,43315.464433148394
macro2_to_macro3,33499.27339580927,16275.177715717431
macro4_to_macro0,464738.60057581414,1244791.1313290088
macro0_to_macro4,30154.57137531128,11466.11877385927
macro4_to_macro1,884053.0522285777,223755.40790926802
macro1_to_macro4,33750.430368635214,16267.989549083188
macro4_to_macro2,93646.64113967234,46737.5252894247
macro2_to_macro4,20592.557493050528,7623.724182485064
macro4_to_macro3,100830.39747403562,28748.566289437462
macro3_to_macro4,29942.442859269584,16675.051899928825
